,index,natRhythmTap (in ms.)
1,5,60.6513671875
7,35,425.948486328125
12,60,732.748046875
17,85,1037.89453125
23,115,1405.185546875
31,155,1900.051513671875
36,180,2209.61474609375
43,215,2634.040283203125
47,235,2877.046142578125
49,245,2998.95263671875
55,275,3365.837158203125
58,290,3546.833251953125
65,325,3973.673828125
69,345,4215.52783203125
71,355,4336.079345703125
76,380,4640.220458984375
81,405,4946.110595703125
83,415,5067.455078125
89,445,5432.7099609375
93,465,5677.457763671875
95,475,5801.154541015625
100,500,6107.502197265625
105,525,6411.0517578125
112,560,6837.227783203125
116,580,7079.482666015625
124,620,7570.134521484375
128,640,7814.8828125
130,650,7935.719970703125
135,675,8242.83251953125
141,705,8605.91943359375
147,735,8969.626708984375
153,765,9341.3935546875
159,795,9709.49072265625
163,815,9952.2060546875
169,845,10321.0478515625
174,870,10626.685546875
180,900,10993.23583984375
185,925,11298.624267578125
191,955,11665.172119140625
196,980,11970.095947265625
202,1010,12339.93115234375
206,1030,12584.452880859375
212,1060,12949.128173828125
217,1085,13252.376708984375
223,1115,13618.49853515625
228,1140,13928.58935546875
233,1165,14232.124755859375
238,1190,14537.02587890625
244,1220,14906.83154296875
250,1250,15269.1865234375
255,1275,15572.32568359375
262,1310,15995.467041015625
267,1335,16299.1201171875
273,1365,16668.340576171875
278,1390,16978.08251953125
283,1415,17282.40673828125
290,1450,17708.96875
295,1475,18014.172119140625
302,1510,18440.9404296875
305,1525,18621.8994140625
311,1555,18988.013671875
316,1580,19296.671142578125
323,1615,19726.04052734375
328,1640,20033.171142578125
333,1665,20338.720703125
339,1695,20705.030029296875
344,1720,21009.59814453125
349,1745,21316.367919921875
356,1780,21743.66064453125
361,1805,22045.697998046875
367,1835,22411.822021484375
373,1865,22774.86962890625
378,1890,23076.76611328125
383,1915,23381.74755859375
389,1945,23744.125
393,1965,23990.336181640625
399,1995,24358.90625
404,2020,24665.687255859375
409,2045,24976.588134765625
414,2070,25282.61376953125
420,2100,25649.641357421875
425,2125,25956.939453125
432,2160,26384.079345703125
438,2190,26749.599609375
443,2215,27055.705322265625
448,2240,27357.913818359375
454,2270,27724.196533203125
459,2295,28030.063720703125
465,2325,28393.620849609375
470,2350,28698.239990234375
476,2380,29064.397216796875
481,2405,29370.658447265625
487,2435,29735.017333984375
491,2455,29980.134521484375
497,2485,30350.520263671875
502,2510,30653.77978515625
506,2530,30900.085205078125
508,2540,31023.092529296875
513,2565,31325.468994140625
515,2575,31446.584228515625
520,2600,31752.779541015625
525,2625,32059.276123046875
531,2655,32425.00732421875
536,2680,32729.281494140625
543,2715,33155.108642578125
547,2735,33398.263671875
553,2765,33761.93212890625
559,2795,34127.1640625
565,2825,34491.945556640625
570,2850,34800.14697265625
576,2880,35169.1630859375
581,2905,35475.27734375
587,2935,35838.313232421875
592,2960,36137.817626953125
599,2995,36564.29296875
604,3020,36876.348388671875
610,3050,37244.5478515625
616,3080,37609.314453125
622,3110,37973.24267578125
628,3140,38337.483642578125
633,3165,38641.071533203125
638,3190,38946.07177734375
644,3220,39316.233642578125
648,3240,39561.176025390625
654,3270,39927.97216796875
658,3290,40172.728271484375
665,3325,40601.8974609375
670,3350,40906.190673828125
677,3385,41335.3603515625
681,3405,41580.0693359375
683,3415,41701.512939453125
686,3430,41882.821533203125
688,3440,42004.89453125
692,3460,42251.23974609375
699,3495,42677.196533203125
703,3515,42917.37841796875
705,3525,43040.12109375
710,3550,43346.058837890625
715,3575,43649.98974609375
717,3585,43770.340087890625
721,3605,44015.098388671875
726,3630,44320.18603515625
729,3645,44501.672119140625
732,3660,44685.180419921875
737,3685,44990.157958984375
744,3720,45418.1357421875
750,3750,45789.216552734375
755,3775,46094.14404296875
760,3800,46397.91552734375
762,3810,46520.578125
768,3840,46889.288330078125
774,3870,47255.18701171875
779,3895,47558.151123046875
784,3920,47862.038330078125
786,3930,47984.197509765625
791,3955,48290.839111328125
795,3975,48536.87353515625
802,4010,48963.62060546875
807,4035,49269.654296875
813,4065,49633.126220703125
818,4090,49937.94189453125
824,4120,50304.16064453125
829,4145,50604.5615234375
835,4175,50970.861328125
841,4205,51339.8857421875
847,4235,51705.76806640625
854,4270,52130.554931640625
859,4295,52434.19482421875
864,4320,52735.61376953125
871,4355,53168.204345703125
876,4380,53474.55908203125
882,4410,53839.28662109375
888,4440,54206.590087890625
893,4465,54511.7314453125
895,4475,54631.6162109375
899,4495,54873.875
906,4530,55302.334228515625
910,4550,55550.601318359375
916,4580,55920.5419921875
921,4605,56225.833984375
927,4635,56591.262939453125
932,4660,56897.01708984375
938,4690,57265.92578125
943,4715,57569.632080078125
