subject,tapNum,x_pos,y_pos,time_stamp (in ms.)
s_hg_0,1,0.3692708333333333,0.17500000000000004,1649580079172.9124
s_hg_0,1,0.3671875,0.18425925925925923,1649580079185.0896
s_hg_0,1,0.3671875,0.18425925925925923,1649580079197.701
s_hg_0,1,0.36614583333333334,0.18888888888888888,1649580079210.182
s_hg_0,1,0.36302083333333335,0.20277777777777772,1649580079222.355
s_hg_0,1,0.3609375,0.20925925925925926,1649580079234.1448
s_hg_0,1,0.359375,0.21666666666666667,1649580079246.3066
s_hg_0,1,0.35625,0.23333333333333328,1649580079258.7146
s_hg_0,1,0.35572916666666665,0.2416666666666667,1649580079270.8767
s_hg_0,1,0.35520833333333335,0.25,1649580079283.0095
s_hg_0,1,0.35520833333333335,0.25648148148148153,1649580079295.2825
s_hg_0,2,0.3890625,0.1787037037037037,1649580079307.096
s_hg_0,2,0.3890625,0.18240740740740746,1649580079318.5251
s_hg_0,2,0.38958333333333334,0.187962962962963,1649580079330.9524
s_hg_0,2,0.390625,0.19537037037037042,1649580079343.2896
s_hg_0,2,0.39114583333333336,0.20277777777777772,1649580079355.757
s_hg_0,2,0.3953125,0.21944444444444444,1649580079368.0698
s_hg_0,2,0.3984375,0.22870370370370374,1649580079380.4385
s_hg_0,2,0.4005208333333333,0.23703703703703705,1649580079393.7124
s_hg_0,2,0.4036458333333333,0.24537037037037035,1649580079405.5664
s_hg_0,2,0.40989583333333335,0.2592592592592593,1649580079417.53
s_hg_0,2,0.41302083333333334,0.26481481481481484,1649580079429.8767
s_hg_0,2,0.41510416666666666,0.2694444444444445,1649580079442.7568
s_hg_0,2,0.4270833333333333,0.287962962962963,1649580079455.6865
s_hg_0,2,0.4296875,0.28888888888888886,1649580079467.822
s_hg_0,2,0.43854166666666666,0.2935185185185185,1649580079479.8848
s_hg_0,2,0.4390625,0.2925925925925926,1649580079492.1377
s_hg_0,2,0.43802083333333336,0.29166666666666663,1649580079504.863
s_hg_0,2,0.4375,0.29074074074074074,1649580079517.4077
s_hg_0,-1,-1,-1,1649580079529.1436
s_hg_0,-1,-1,-1,1649580079540.912
s_hg_0,-1,-1,-1,1649580079552.8323
s_hg_0,-1,-1,-1,1649580079564.6382
s_hg_0,-1,-1,-1,1649580079576.3901
s_hg_0,-1,-1,-1,1649580079587.9683
s_hg_0,-1,-1,-1,1649580079599.6848
s_hg_0,-1,-1,-1,1649580079611.739
s_hg_0,-1,-1,-1,1649580079623.5479
s_hg_0,-1,-1,-1,1649580079635.126
s_hg_0,-1,-1,-1,1649580079648.1423
s_hg_0,-1,-1,-1,1649580079659.8562
s_hg_0,-1,-1,-1,1649580079671.541
s_hg_0,-1,-1,-1,1649580079684.0747
s_hg_0,-1,-1,-1,1649580079695.881
s_hg_0,-1,-1,-1,1649580079707.691
s_hg_0,-1,-1,-1,1649580079719.2651
s_hg_0,-1,-1,-1,1649580079731.0662
s_hg_0,-1,-1,-1,1649580079742.8533
s_hg_0,-1,-1,-1,1649580079754.8037
s_hg_0,-1,-1,-1,1649580079767.291
s_hg_0,-1,-1,-1,1649580079779.1257
s_hg_0,-1,-1,-1,1649580079791.206
s_hg_0,-1,-1,-1,1649580079803.787
s_hg_0,-1,-1,-1,1649580079816.308
s_hg_0,-1,-1,-1,1649580079828.0723
s_hg_0,-1,-1,-1,1649580079840.543
s_hg_0,-1,-1,-1,1649580079852.3872
s_hg_0,-1,-1,-1,1649580079864.1162
s_hg_0,-1,-1,-1,1649580079875.7856
s_hg_0,-1,-1,-1,1649580079887.829
s_hg_0,-1,-1,-1,1649580079899.5825
s_hg_0,-1,-1,-1,1649580079911.798
s_hg_0,-1,-1,-1,1649580079923.5537
s_hg_0,-1,-1,-1,1649580079935.042
s_hg_0,-1,-1,-1,1649580079947.7788
s_hg_0,-1,-1,-1,1649580079959.4766
s_hg_0,-1,-1,-1,1649580079971.276
s_hg_0,-1,-1,-1,1649580079983.65
s_hg_0,-1,-1,-1,1649580079995.3555
s_hg_0,-1,-1,-1,1649580080007.1475
s_hg_0,-1,-1,-1,1649580080019.9958
s_hg_0,-1,-1,-1,1649580080031.8394
s_hg_0,-1,-1,-1,1649580080043.6118
s_hg_0,-1,-1,-1,1649580080055.3438
s_hg_0,-1,-1,-1,1649580080067.1538
s_hg_0,-1,-1,-1,1649580080079.7004
s_hg_0,-1,-1,-1,1649580080091.383
s_hg_0,-1,-1,-1,1649580080103.4617
s_hg_0,-1,-1,-1,1649580080115.7725
s_hg_0,-1,-1,-1,1649580080127.4434
s_hg_0,-1,-1,-1,1649580080139.2578
s_hg_0,-1,-1,-1,1649580080151.127
s_hg_0,-1,-1,-1,1649580080163.7664
