subject,tapNum,natRhythmTap (in ms.)
s_hg_0,1,1649579611917.8926
s_hg_0,2,1649579612393.4016
s_hg_0,3,1649579612907.5486
s_hg_0,4,1649579613405.4353
s_hg_0,5,1649579613917.5967
s_hg_0,6,1649579614406.122
s_hg_0,7,1649579614880.8928
s_hg_0,8,1649579615407.6199
s_hg_0,9,1649579615932.2195
s_hg_0,10,1649579616446.6113
s_hg_0,11,1649579616969.9966
s_hg_0,12,1649579617506.449
s_hg_0,13,1649579618042.6716
s_hg_0,14,1649579618554.8918
s_hg_0,15,1649579619103.5054
s_hg_0,16,1649579619605.7683
s_hg_0,17,1649579620115.6782
s_hg_0,18,1649579620676.6208
s_hg_0,19,1649579621190.3342
s_hg_0,20,1649579621691.618
s_hg_0,21,1649579622216.615
s_hg_0,22,1649579622679.553
s_hg_0,23,1649579623153.419
s_hg_0,24,1649579623641.0889
s_hg_0,25,1649579624116.801
s_hg_0,26,1649579624628.475
s_hg_0,27,1649579625116.7043
s_hg_0,28,1649579625605.3718
s_hg_0,29,1649579626116.4219
s_hg_0,30,1649579626630.4048
s_hg_0,31,1649579627115.8035
s_hg_0,32,1649579627565.4795
s_hg_0,33,1649579628065.6995
s_hg_0,34,1649579628565.8013
s_hg_0,35,1649579629060.1775
s_hg_0,36,1649579629581.284
s_hg_0,37,1649579630080.3882
s_hg_0,38,1649579630582.3918
s_hg_0,39,1649579631057.4324
s_hg_0,40,1649579632050.8374
s_hg_0,41,1649579632575.4717
s_hg_0,42,1649579633060.3318
s_hg_0,43,1649579633558.507
s_hg_0,44,1649579634022.2158
s_hg_0,45,1649579634533.402
s_hg_0,46,1649579635021.8994
s_hg_0,47,1649579635461.6033
s_hg_0,48,1649579635987.2415
s_hg_0,49,1649579636515.9124
s_hg_0,50,1649579637002.4692
s_hg_0,51,1649579637527.4565
s_hg_0,52,1649579637988.3105
s_hg_0,53,1649579638491.199
s_hg_0,54,1649579638988.0398
s_hg_0,55,1649579639479.7498
s_hg_0,56,1649579640004.4092
s_hg_0,57,1649579640504.6462
s_hg_0,58,1649579640991.684
s_hg_0,59,1649579641485.3965
s_hg_0,60,1649579641971.8809
s_hg_0,61,1649579642462.4248
s_hg_0,62,1649579642975.9827
s_hg_0,63,1649579643489.359
s_hg_0,64,1649579643965.7588
s_hg_0,65,1649579644430.9006
s_hg_0,66,1649579644942.871
s_hg_0,67,1649579645443.2666
s_hg_0,68,1649579645929.3018
s_hg_0,69,1649579646419.9775
s_hg_0,70,1649579646930.8936
s_hg_0,71,1649579647395.047
s_hg_0,72,1649579647918.3086
s_hg_0,73,1649579648405.621
s_hg_0,74,1649579648882.1218
s_hg_0,75,1649579649406.101
s_hg_0,76,1649579649892.6829
s_hg_0,77,1649579650357.753
s_hg_0,78,1649579650845.4983
s_hg_0,79,1649579651352.238
s_hg_0,80,1649579651815.8289
s_hg_0,81,1649579652351.9856
s_hg_0,82,1649579652826.829
s_hg_0,83,1649579653301.8176
s_hg_0,84,1649579653763.5903
s_hg_0,85,1649579654277.0178
s_hg_0,86,1649579654804.5999
s_hg_0,87,1649579655276.9917
s_hg_0,88,1649579655754.328
s_hg_0,89,1649579656232.8398
s_hg_0,90,1649579659689.3113
s_hg_0,91,1649579660164.416
s_hg_0,92,1649579660675.252
s_hg_0,93,1649579661162.378
s_hg_0,94,1649579661639.7305
s_hg_0,95,1649579662141.2039
s_hg_0,96,1649579662627.1052
s_hg_0,97,1649579663128.3672
s_hg_0,98,1649579663628.5515
s_hg_0,99,1649579664152.0945
s_hg_0,100,1649579664677.1145
s_hg_0,101,1649579665140.7512
s_hg_0,102,1649579665645.7192
s_hg_0,103,1649579666123.3267
s_hg_0,104,1649579666611.4077
s_hg_0,105,1649579667115.1084
s_hg_0,106,1649579667603.1145
s_hg_0,107,1649579668151.1848
s_hg_0,108,1649579668676.8267
s_hg_0,109,1649579669201.4038
s_hg_0,110,1649579669714.3662
s_hg_0,111,1649579670202.7678
s_hg_0,112,1649579670716.5645
s_hg_0,113,1649579671232.1929


Time elapsed (in seconds): ,60
Subject perception (in seconds): ,60
