subject,tapNum,natRhythmTap (in ms.)
s_02_lg_0,1,1649581433804.3416
s_02_lg_0,2,1649581434257.347
s_02_lg_0,3,1649581434710.0376
s_02_lg_0,4,1649581435146.1414
s_02_lg_0,5,1649581435561.6582
s_02_lg_0,6,1649581435987.142
s_02_lg_0,7,1649581436413.7856
s_02_lg_0,8,1649581436879.3694
s_02_lg_0,9,1649581437328.1304
s_02_lg_0,10,1649581437729.532
s_02_lg_0,11,1649581438155.747
s_02_lg_0,12,1649581438581.4902
s_02_lg_0,13,1649581438983.9087
s_02_lg_0,14,1649581439376.8933
s_02_lg_0,15,1649581439814.8743
s_02_lg_0,16,1649581440231.1914
s_02_lg_0,17,1649581440657.932
s_02_lg_0,18,1649581441070.203
s_02_lg_0,19,1649581441476.1345
s_02_lg_0,20,1649581441901.5605
s_02_lg_0,21,1649581442306.9692
s_02_lg_0,22,1649581442721.3218
s_02_lg_0,23,1649581443147.8403
s_02_lg_0,24,1649581443574.6775
s_02_lg_0,25,1649581443992.4932
s_02_lg_0,26,1649581444393.2668
s_02_lg_0,27,1649581444842.3708
s_02_lg_0,28,1649581445270.6475
s_02_lg_0,29,1649581445696.5046
s_02_lg_0,30,1649581446134.8345
s_02_lg_0,31,1649581446535.6958
s_02_lg_0,32,1649581446960.8325
s_02_lg_0,33,1649581447388.2825
s_02_lg_0,34,1649581447800.9363
s_02_lg_0,35,1649581448240.0657
s_02_lg_0,36,1649581448643.909
s_02_lg_0,37,1649581449075.4219
s_02_lg_0,38,1649581449476.858
s_02_lg_0,39,1649581449900.4814
s_02_lg_0,40,1649581450277.3347
s_02_lg_0,41,1649581450701.242
s_02_lg_0,42,1649581451138.8252
s_02_lg_0,43,1649581451567.813
s_02_lg_0,44,1649581451956.6533
s_02_lg_0,45,1649581452359.875
s_02_lg_0,46,1649581452774.0432
s_02_lg_0,47,1649581453199.5117
s_02_lg_0,48,1649581453611.9517
s_02_lg_0,49,1649581454042.91
s_02_lg_0,50,1649581454446.374
s_02_lg_0,51,1649581454909.3826
s_02_lg_0,52,1649581455336.804
s_02_lg_0,53,1649581455713.6868
s_02_lg_0,54,1649581456116.1719
s_02_lg_0,55,1649581456554.108
s_02_lg_0,56,1649581456953.6511
s_02_lg_0,57,1649581457390.5242
s_02_lg_0,58,1649581457777.695
s_02_lg_0,59,1649581458180.4048
s_02_lg_0,60,1649581458606.6008
s_02_lg_0,61,1649581458974.022
s_02_lg_0,62,1649581459425.4846
s_02_lg_0,63,1649581459852.9258
s_02_lg_0,64,1649581460277.53
s_02_lg_0,65,1649581460732.95
s_02_lg_0,66,1649581461148.4248
s_02_lg_0,67,1649581461564.5847
s_02_lg_0,68,1649581462028.065
s_02_lg_0,69,1649581462455.439
s_02_lg_0,70,1649581462843.5742
s_02_lg_0,71,1649581463233.192
s_02_lg_0,72,1649581463623.533
s_02_lg_0,73,1649581464012.1274
s_02_lg_0,74,1649581464412.427
s_02_lg_0,75,1649581464855.3179
s_02_lg_0,76,1649581465221.305
s_02_lg_0,77,1649581465636.1318
s_02_lg_0,78,1649581466051.7605
s_02_lg_0,79,1649581466427.563
s_02_lg_0,80,1649581466856.109
s_02_lg_0,81,1649581467261.0486
s_02_lg_0,82,1649581467687.5288
s_02_lg_0,83,1649581468077.217
s_02_lg_0,84,1649581468490.227
s_02_lg_0,85,1649581468892.8765
s_02_lg_0,86,1649581469284.6267
s_02_lg_0,87,1649581469687.3965
s_02_lg_0,88,1649581470090.3574
s_02_lg_0,89,1649581470504.0164
s_02_lg_0,90,1649581470884.2603
s_02_lg_0,91,1649581471276.2979
s_02_lg_0,92,1649581471668.772
s_02_lg_0,93,1649581472068.5754
s_02_lg_0,94,1649581472458.4373
s_02_lg_0,95,1649581472860.2104
s_02_lg_0,96,1649581473212.4062
s_02_lg_0,97,1649581473649.0427
s_02_lg_0,98,1649581474079.4663
s_02_lg_0,99,1649581474469.082
s_02_lg_0,100,1649581474870.8608
s_02_lg_0,101,1649581475247.3804
s_02_lg_0,102,1649581475637.7332
s_02_lg_0,103,1649581476075.354
s_02_lg_0,104,1649581476488.5928
s_02_lg_0,105,1649581476890.3103
s_02_lg_0,106,1649581477283.3677
s_02_lg_0,107,1649581477684.7004
s_02_lg_0,108,1649581478098.7832
s_02_lg_0,109,1649581478540.674
s_02_lg_0,110,1649581478918.514
s_02_lg_0,111,1649581479332.0554
s_02_lg_0,112,1649581479771.4624
s_02_lg_0,113,1649581480178.4563
s_02_lg_0,114,1649581480568.4521
s_02_lg_0,115,1649581480970.5159
s_02_lg_0,116,1649581481374.3762
s_02_lg_0,117,1649581481775.0674
s_02_lg_0,118,1649581482190.49
s_02_lg_0,119,1649581482579.4229
s_02_lg_0,120,1649581482995.018
s_02_lg_0,121,1649581483397.2012
s_02_lg_0,122,1649581483824.1555
s_02_lg_0,123,1649581484229.4058
s_02_lg_0,124,1649581484620.2708
s_02_lg_0,125,1649581485045.7017
s_02_lg_0,126,1649581485458.3538
s_02_lg_0,127,1649581485848.398
s_02_lg_0,128,1649581486249.683
s_02_lg_0,129,1649581486675.3052
s_02_lg_0,130,1649581487089.3345
s_02_lg_0,131,1649581487467.6167
s_02_lg_0,132,1649581487882.9294
s_02_lg_0,133,1649581488318.927
s_02_lg_0,134,1649581488718.4995
s_02_lg_0,135,1649581489134.4028
s_02_lg_0,136,1649581489547.6042
s_02_lg_0,137,1649581489953.5632
s_02_lg_0,138,1649581490369.5476
s_02_lg_0,139,1649581490747.9922
s_02_lg_0,140,1649581491176.8901
s_02_lg_0,141,1649581491593.1953
s_02_lg_0,142,1649581491981.565
s_02_lg_0,143,1649581492422.0398
s_02_lg_0,144,1649581492798.9365
s_02_lg_0,145,1649581493200.4426


Time elapsed (in seconds): ,60
Subject perception (in seconds): ,40
