subject,tapNum,natRhythmTap (in ms.)
s_03_yk_0,1,1649582443971.78
s_03_yk_0,2,1649582444473.2302
s_03_yk_0,3,1649582444985.5923
s_03_yk_0,4,1649582445488.9758
s_03_yk_0,5,1649582445988.8972
s_03_yk_0,6,1649582446488.991
s_03_yk_0,7,1649582446981.656
s_03_yk_0,8,1649582447471.0364
s_03_yk_0,9,1649582447951.3655
s_03_yk_0,10,1649582448442.1726
s_03_yk_0,11,1649582448930.7805
s_03_yk_0,12,1649582449421.848
s_03_yk_0,13,1649582449897.9421
s_03_yk_0,14,1649582450400.43
s_03_yk_0,15,1649582450888.3618
s_03_yk_0,16,1649582451368.4805
s_03_yk_0,17,1649582451867.8625
s_03_yk_0,18,1649582452371.967
s_03_yk_0,19,1649582452858.4824
s_03_yk_0,20,1649582453344.8137
s_03_yk_0,21,1649582453796.0725
s_03_yk_0,22,1649582454297.1152
s_03_yk_0,23,1649582454771.5789
s_03_yk_0,24,1649582455271.3071
s_03_yk_0,25,1649582455715.472
s_03_yk_0,26,1649582456266.8552
s_03_yk_0,27,1649582456730.5544
s_03_yk_0,28,1649582457231.947
s_03_yk_0,29,1649582457684.986
s_03_yk_0,30,1649582458161.5366
s_03_yk_0,31,1649582458660.863
s_03_yk_0,32,1649582459176.0745
s_03_yk_0,33,1649582459665.6274
s_03_yk_0,34,1649582460167.45
s_03_yk_0,35,1649582460682.8865
s_03_yk_0,36,1649582461162.1064
s_03_yk_0,37,1649582461616.9802
s_03_yk_0,38,1649582462097.7566
s_03_yk_0,39,1649582462538.2747
s_03_yk_0,40,1649582463039.5142
s_03_yk_0,41,1649582463518.2944
s_03_yk_0,42,1649582464042.5269
s_03_yk_0,43,1649582464494.1726
s_03_yk_0,44,1649582464959.4397
s_03_yk_0,45,1649582465483.8105
s_03_yk_0,46,1649582465962.314
s_03_yk_0,47,1649582466377.3252
s_03_yk_0,48,1649582466867.1577
s_03_yk_0,49,1649582467355.5217
s_03_yk_0,50,1649582467854.439
s_03_yk_0,51,1649582468339.1143
s_03_yk_0,52,1649582468813.5015
s_03_yk_0,53,1649582469315.7603
s_03_yk_0,54,1649582469791.207
s_03_yk_0,55,1649582470291.1372
s_03_yk_0,56,1649582470781.0476
s_03_yk_0,57,1649582471281.49
s_03_yk_0,58,1649582471722.9675
s_03_yk_0,59,1649582472201.8035
s_03_yk_0,60,1649582472670.4956
s_03_yk_0,61,1649582473173.5051
s_03_yk_0,62,1649582473625.8872
s_03_yk_0,63,1649582474079.492
s_03_yk_0,64,1649582474559.3333
s_03_yk_0,65,1649582475036.5525
s_03_yk_0,66,1649582475500.93
s_03_yk_0,67,1649582475956.5215
s_03_yk_0,68,1649582476431.287
s_03_yk_0,69,1649582476893.5684
s_03_yk_0,70,1649582477332.6965
s_03_yk_0,71,1649582477809.514
s_03_yk_0,72,1649582478271.5298
s_03_yk_0,73,1649582478761.4712
s_03_yk_0,74,1649582479189.4219
s_03_yk_0,75,1649582479652.0488
s_03_yk_0,76,1649582480103.9043
s_03_yk_0,77,1649582480578.424
s_03_yk_0,78,1649582481030.5981
s_03_yk_0,79,1649582481485.6406
s_03_yk_0,80,1649582481961.8257
s_03_yk_0,81,1649582482400.7935
s_03_yk_0,82,1649582482889.183
s_03_yk_0,83,1649582483330.7546
s_03_yk_0,84,1649582483821.3213
s_03_yk_0,85,1649582484270.315
s_03_yk_0,86,1649582484708.593
s_03_yk_0,87,1649582485147.3884
s_03_yk_0,88,1649582485624.7922
s_03_yk_0,89,1649582486090.277
s_03_yk_0,90,1649582486565.6787
s_03_yk_0,91,1649582487044.3237
s_03_yk_0,92,1649582487470.54
s_03_yk_0,93,1649582487959.5784
s_03_yk_0,94,1649582488385.1643
s_03_yk_0,95,1649582488397.862
s_03_yk_0,96,1649582488851.5754
s_03_yk_0,97,1649582489301.4133
s_03_yk_0,98,1649582489777.6565
s_03_yk_0,99,1649582490243.2954
s_03_yk_0,100,1649582490707.573
s_03_yk_0,101,1649582491171.5034
s_03_yk_0,102,1649582491612.1333
s_03_yk_0,103,1649582492089.4285
s_03_yk_0,104,1649582492515.261
s_03_yk_0,105,1649582492979.5486
s_03_yk_0,106,1649582493428.239
s_03_yk_0,107,1649582493891.6963
s_03_yk_0,108,1649582494354.967
s_03_yk_0,109,1649582494819.5815
s_03_yk_0,110,1649582495307.2112
s_03_yk_0,111,1649582495760.6306
s_03_yk_0,112,1649582496236.6233
s_03_yk_0,113,1649582496639.4194
s_03_yk_0,114,1649582497128.1055
s_03_yk_0,115,1649582497600.5503
s_03_yk_0,116,1649582498076.3254
s_03_yk_0,117,1649582498539.373
s_03_yk_0,118,1649582498991.198
s_03_yk_0,119,1649582499429.4885
s_03_yk_0,120,1649582499914.8555
s_03_yk_0,121,1649582500369.209
s_03_yk_0,122,1649582500846.6653
s_03_yk_0,123,1649582501312.939
s_03_yk_0,124,1649582501764.132
s_03_yk_0,125,1649582502179.316
s_03_yk_0,126,1649582502655.897
s_03_yk_0,127,1649582503119.6343


Time elapsed (in seconds): ,60
Subject perception (in seconds): ,60
