subject,tapNum,natRhythmTap (in ms.)
s04_ak_0,1,1649583058181.866
s04_ak_0,2,1649583058683.249
s04_ak_0,3,1649583059183.484
s04_ak_0,4,1649583059675.2485
s04_ak_0,5,1649583060181.1382
s04_ak_0,6,1649583060681.658
s04_ak_0,7,1649583061170.169
s04_ak_0,8,1649583061650.266
s04_ak_0,9,1649583062116.7432
s04_ak_0,10,1649583062630.6277
s04_ak_0,11,1649583063130.1387
s04_ak_0,12,1649583063631.0774
s04_ak_0,13,1649583064133.4863
s04_ak_0,14,1649583064632.0024
s04_ak_0,15,1649583065144.379
s04_ak_0,16,1649583065656.2073
s04_ak_0,17,1649583066168.1184
s04_ak_0,18,1649583066684.4697
s04_ak_0,19,1649583067196.6826
s04_ak_0,20,1649583067711.4414
s04_ak_0,21,1649583068232.6807
s04_ak_0,22,1649583068721.815
s04_ak_0,23,1649583069223.154
s04_ak_0,24,1649583069747.413
s04_ak_0,25,1649583070236.946
s04_ak_0,26,1649583070736.5918
s04_ak_0,27,1649583071238.3445
s04_ak_0,28,1649583071743.1067
s04_ak_0,29,1649583072243.0435
s04_ak_0,30,1649583072745.3047
s04_ak_0,31,1649583073260.029
s04_ak_0,32,1649583073760.853
s04_ak_0,33,1649583074261.6646
s04_ak_0,34,1649583074773.5552
s04_ak_0,35,1649583075297.7197
s04_ak_0,36,1649583075808.112
s04_ak_0,37,1649583076296.9312
s04_ak_0,38,1649583076837.2446
s04_ak_0,39,1649583077314.057
s04_ak_0,40,1649583077813.9583
s04_ak_0,41,1649583078318.8733
s04_ak_0,42,1649583078846.6965
s04_ak_0,43,1649583079372.9429
s04_ak_0,44,1649583079910.2644
s04_ak_0,45,1649583080400.3682
s04_ak_0,46,1649583080898.6958
s04_ak_0,47,1649583081418.758
s04_ak_0,48,1649583081955.271
s04_ak_0,49,1649583082444.538
s04_ak_0,50,1649583082956.4465
s04_ak_0,51,1649583083470.076
s04_ak_0,52,1649583083993.2715
s04_ak_0,53,1649583084508.957
s04_ak_0,54,1649583085020.7646
s04_ak_0,55,1649583085495.538
s04_ak_0,56,1649583085994.5857
s04_ak_0,57,1649583086510.2756
s04_ak_0,58,1649583087023.5557
s04_ak_0,59,1649583087539.546
s04_ak_0,60,1649583088038.5166
s04_ak_0,61,1649583088538.2205
s04_ak_0,62,1649583089052.098
s04_ak_0,63,1649583089554.5972
s04_ak_0,64,1649583090055.3015
s04_ak_0,65,1649583090559.2354
s04_ak_0,66,1649583091060.418
s04_ak_0,67,1649583091567.105
s04_ak_0,68,1649583092058.438
s04_ak_0,69,1649583092561.6245
s04_ak_0,70,1649583093073.6682
s04_ak_0,71,1649583093564.032
s04_ak_0,72,1649583094104.5364
s04_ak_0,73,1649583094619.2476
s04_ak_0,74,1649583095121.6848
s04_ak_0,75,1649583095646.6677
s04_ak_0,76,1649583096149.9067
s04_ak_0,77,1649583096666.8743
s04_ak_0,78,1649583097206.2131
s04_ak_0,79,1649583097705.8003
s04_ak_0,80,1649583098230.7095
s04_ak_0,81,1649583098754.5361
s04_ak_0,82,1649583099254.2742
s04_ak_0,83,1649583099742.4302
s04_ak_0,84,1649583100230.8718
s04_ak_0,85,1649583100732.062
s04_ak_0,86,1649583101233.54
s04_ak_0,87,1649583101723.4712
s04_ak_0,88,1649583102225.019
s04_ak_0,89,1649583102690.406
s04_ak_0,90,1649583103203.2197
s04_ak_0,91,1649583103721.5337
s04_ak_0,92,1649583104223.6047
s04_ak_0,93,1649583104725.9163
s04_ak_0,94,1649583105234.8042
s04_ak_0,95,1649583105746.0288
s04_ak_0,96,1649583106257.1753
s04_ak_0,97,1649583106812.338
s04_ak_0,98,1649583107314.3232
s04_ak_0,99,1649583107837.9866
s04_ak_0,100,1649583108350.6836
s04_ak_0,101,1649583108851.0134
s04_ak_0,102,1649583109365.2334
s04_ak_0,103,1649583109888.4558
s04_ak_0,104,1649583110389.6536
s04_ak_0,105,1649583110887.8147
s04_ak_0,106,1649583111403.0974
s04_ak_0,107,1649583111902.35
s04_ak_0,108,1649583112403.1748
s04_ak_0,109,1649583112901.5996
s04_ak_0,110,1649583113375.8657
s04_ak_0,111,1649583113875.5706
s04_ak_0,112,1649583114389.06
s04_ak_0,113,1649583114878.3726
s04_ak_0,114,1649583115356.6921
s04_ak_0,115,1649583115833.7322
s04_ak_0,116,1649583116333.5913
s04_ak_0,117,1649583116845.2114
s04_ak_0,118,1649583117334.5444


Time elapsed (in seconds): ,60
Subject perception (in seconds): ,50
