subject,tapNum,natRhythmTap (in ms.)
s06_nt_0,1,1649587947609.3833
s06_nt_0,2,1649587948080.8857
s06_nt_0,3,1649587948526.9473
s06_nt_0,4,1649587948994.929
s06_nt_0,5,1649587949487.6338
s06_nt_0,6,1649587949909.46
s06_nt_0,7,1649587950379.897
s06_nt_0,8,1649587950848.8088
s06_nt_0,9,1649587951246.3757
s06_nt_0,10,1649587951729.0105
s06_nt_0,11,1649587952163.5305
s06_nt_0,12,1649587952633.288
s06_nt_0,13,1649587953085.4973
s06_nt_0,14,1649587953529.9084
s06_nt_0,15,1649587953979.558
s06_nt_0,16,1649587954472.7678
s06_nt_0,17,1649587954905.6104
s06_nt_0,18,1649587955377.2627
s06_nt_0,19,1649587955858.5156
s06_nt_0,20,1649587956247.1377
s06_nt_0,21,1649587956762.3645
s06_nt_0,22,1649587957292.9563
s06_nt_0,23,1649587957736.4526
s06_nt_0,24,1649587958265.4917
s06_nt_0,25,1649587958696.9941
s06_nt_0,26,1649587959128.9763
s06_nt_0,27,1649587959645.5662
s06_nt_0,28,1649587960112.6282
s06_nt_0,29,1649587960545.5156
s06_nt_0,30,1649587961024.064
s06_nt_0,31,1649587961442.4536
s06_nt_0,32,1649587961909.9438
s06_nt_0,33,1649587962329.7085
s06_nt_0,34,1649587962786.7583
s06_nt_0,35,1649587963183.5989
s06_nt_0,36,1649587963700.461
s06_nt_0,37,1649587964108.0469
s06_nt_0,38,1649587964562.9268
s06_nt_0,39,1649587965006.2007
s06_nt_0,40,1649587965462.636
s06_nt_0,41,1649587965917.591
s06_nt_0,42,1649587966350.2493
s06_nt_0,43,1649587966781.9758
s06_nt_0,44,1649587967241.6384
s06_nt_0,45,1649587967699.0857
s06_nt_0,46,1649587968143.2073
s06_nt_0,47,1649587968586.8516
s06_nt_0,48,1649587969017.891
s06_nt_0,49,1649587969415.2974
s06_nt_0,50,1649587969836.3496
s06_nt_0,51,1649587970340.6118
s06_nt_0,52,1649587970747.3977
s06_nt_0,53,1649587971191.5378
s06_nt_0,54,1649587971576.392
s06_nt_0,55,1649587972067.2163
s06_nt_0,56,1649587972494.929
s06_nt_0,57,1649587972962.7231
s06_nt_0,58,1649587973384.4954
s06_nt_0,59,1649587973854.2747
s06_nt_0,60,1649587974272.8298
s06_nt_0,61,1649587974738.8982
s06_nt_0,62,1649587975171.842
s06_nt_0,63,1649587975592.2058
s06_nt_0,64,1649587976002.1135
s06_nt_0,65,1649587976445.1477
s06_nt_0,66,1649587976874.698
s06_nt_0,67,1649587977293.8599
s06_nt_0,68,1649587977786.6433
s06_nt_0,69,1649587978276.4468
s06_nt_0,70,1649587978730.449
s06_nt_0,71,1649587979163.3337
s06_nt_0,72,1649587979558.4343
s06_nt_0,73,1649587979990.2837
s06_nt_0,74,1649587980362.887
s06_nt_0,75,1649587980799.3857
s06_nt_0,76,1649587981210.282
s06_nt_0,77,1649587981643.4485
s06_nt_0,78,1649587982159.2852
s06_nt_0,79,1649587982519.5256
s06_nt_0,80,1649587982939.9453
s06_nt_0,81,1649587983299.7078
s06_nt_0,82,1649587983770.0767
s06_nt_0,83,1649587984200.3318
s06_nt_0,84,1649587984622.8577
s06_nt_0,85,1649587985048.5508
s06_nt_0,86,1649587985496.0505
s06_nt_0,87,1649587985855.7515
s06_nt_0,88,1649587986349.2205
s06_nt_0,89,1649587986768.4111
s06_nt_0,90,1649587987211.2551
s06_nt_0,91,1649587987666.3196
s06_nt_0,92,1649587988061.8904
s06_nt_0,93,1649587988507.2642
s06_nt_0,94,1649587988962.574
s06_nt_0,95,1649587989347.5986
s06_nt_0,96,1649587989802.043
s06_nt_0,97,1649587990233.7395
s06_nt_0,98,1649587990654.9592
s06_nt_0,99,1649587991099.4565
s06_nt_0,100,1649587991567.3633
s06_nt_0,101,1649587991949.1348
s06_nt_0,102,1649587992427.12
s06_nt_0,103,1649587992822.4004
s06_nt_0,104,1649587993242.8147
s06_nt_0,105,1649587993637.0806
s06_nt_0,106,1649587993996.852
s06_nt_0,107,1649587994527.735
s06_nt_0,108,1649587994873.6514
s06_nt_0,109,1649587995268.2422
s06_nt_0,110,1649587995605.551
s06_nt_0,111,1649587996046.4639
s06_nt_0,112,1649587996490.046
s06_nt_0,113,1649587996933.815
s06_nt_0,114,1649587997331.6458
s06_nt_0,115,1649587997775.2302
s06_nt_0,116,1649587998159.7644
s06_nt_0,117,1649587998590.6196
s06_nt_0,118,1649587998962.117
s06_nt_0,119,1649587999477.305
s06_nt_0,120,1649587999885.4019
s06_nt_0,121,1649588000295.3484
s06_nt_0,122,1649588000692.068
s06_nt_0,123,1649588001026.6523
s06_nt_0,124,1649588001553.9026
s06_nt_0,125,1649588001970.8914
s06_nt_0,126,1649588002391.4368
s06_nt_0,127,1649588002930.8936
s06_nt_0,128,1649588003339.3064
s06_nt_0,129,1649588003721.5542
s06_nt_0,130,1649588004105.2358
s06_nt_0,131,1649588004551.3218
s06_nt_0,132,1649588004960.6926
s06_nt_0,133,1649588005344.2651
s06_nt_0,134,1649588005812.6091
s06_nt_0,135,1649588006221.0034
s06_nt_0,136,1649588006629.8396
s06_nt_0,137,1649588007004.561


Time elapsed (in seconds): ,60
Subject perception (in seconds): ,60
