subject,tapNum,natRhythmTap (in ms.)
s_06_gb_0,1,1649589439952.4912
s_06_gb_0,2,1649589440321.4087
s_06_gb_0,3,1649589440690.2048
s_06_gb_0,4,1649589441032.06
s_06_gb_0,5,1649589441389.228
s_06_gb_0,6,1649589441720.5947
s_06_gb_0,7,1649589442125.507
s_06_gb_0,8,1649589442502.6348
s_06_gb_0,9,1649589442905.4885
s_06_gb_0,10,1649589443285.4958
s_06_gb_0,11,1649589443663.7434
s_06_gb_0,12,1649589444002.8235
s_06_gb_0,13,1649589444367.9302
s_06_gb_0,14,1649589444673.26
s_06_gb_0,15,1649589445040.1462
s_06_gb_0,16,1649589445408.198
s_06_gb_0,17,1649589445774.6907
s_06_gb_0,18,1649589446172.187
s_06_gb_0,19,1649589446513.5522
s_06_gb_0,20,1649589446855.875
s_06_gb_0,21,1649589447200.3296
s_06_gb_0,22,1649589447553.0776
s_06_gb_0,23,1649589447930.1782
s_06_gb_0,24,1649589448282.5076
s_06_gb_0,25,1649589448635.833
s_06_gb_0,26,1649589449012.5986
s_06_gb_0,27,1649589449392.672
s_06_gb_0,28,1649589449733.7817
s_06_gb_0,29,1649589450087.4482
s_06_gb_0,30,1649589450417.4243
s_06_gb_0,31,1649589450759.9666
s_06_gb_0,32,1649589451164.3804
s_06_gb_0,33,1649589451509.0996
s_06_gb_0,34,1649589451837.617
s_06_gb_0,35,1649589452180.371
s_06_gb_0,36,1649589452533.5947
s_06_gb_0,37,1649589452889.3323
s_06_gb_0,38,1649589453207.8318
s_06_gb_0,39,1649589453608.876
s_06_gb_0,40,1649589453901.2405
s_06_gb_0,41,1649589454219.191
s_06_gb_0,42,1649589454585.1816
s_06_gb_0,43,1649589454927.663
s_06_gb_0,44,1649589455247.6887
s_06_gb_0,45,1649589455593.316
s_06_gb_0,46,1649589455951.7307
s_06_gb_0,47,1649589456294.8506
s_06_gb_0,48,1649589456649.825
s_06_gb_0,49,1649589457005.807
s_06_gb_0,50,1649589457335.5107
s_06_gb_0,51,1649589457702.84
s_06_gb_0,52,1649589458055.9612
s_06_gb_0,53,1649589458423.7996
s_06_gb_0,54,1649589458729.2644
s_06_gb_0,55,1649589459121.8313
s_06_gb_0,56,1649589459439.8447
s_06_gb_0,57,1649589459828.7368
s_06_gb_0,58,1649589460194.961
s_06_gb_0,59,1649589460525.3066
s_06_gb_0,60,1649589460891.6577
s_06_gb_0,61,1649589461196.339
s_06_gb_0,62,1649589461550.8882
s_06_gb_0,63,1649589461890.721
s_06_gb_0,64,1649589462234.071
s_06_gb_0,65,1649589462552.9583
s_06_gb_0,66,1649589462884.8782
s_06_gb_0,67,1649589463249.3428
s_06_gb_0,68,1649589463515.7446
s_06_gb_0,69,1649589463905.3342
s_06_gb_0,70,1649589464235.5347
s_06_gb_0,71,1649589464539.6863
s_06_gb_0,72,1649589464905.9036
s_06_gb_0,73,1649589465237.0786
s_06_gb_0,74,1649589465592.325
s_06_gb_0,75,1649589465931.701
s_06_gb_0,76,1649589466288.6877
s_06_gb_0,77,1649589466592.794
s_06_gb_0,78,1649589466898.7734
s_06_gb_0,79,1649589467228.6167
s_06_gb_0,80,1649589467482.9287
s_06_gb_0,81,1649589467883.9355
s_06_gb_0,82,1649589468213.3245
s_06_gb_0,83,1649589468529.3906
s_06_gb_0,84,1649589468821.9656
s_06_gb_0,85,1649589469163.2002
s_06_gb_0,86,1649589469529.5925
s_06_gb_0,87,1649589469870.513
s_06_gb_0,88,1649589470223.277
s_06_gb_0,89,1649589470564.108
s_06_gb_0,90,1649589470909.3884
s_06_gb_0,91,1649589471202.0586
s_06_gb_0,92,1649589471568.4539
s_06_gb_0,93,1649589471885.713
s_06_gb_0,94,1649589472213.4602
s_06_gb_0,95,1649589472530.5127
s_06_gb_0,96,1649589472922.2888
s_06_gb_0,97,1649589473226.537
s_06_gb_0,98,1649589473554.9592
s_06_gb_0,99,1649589473897.2566
s_06_gb_0,100,1649589474263.475
s_06_gb_0,101,1649589474557.7322
s_06_gb_0,102,1649589474925.7285
s_06_gb_0,103,1649589475241.202
s_06_gb_0,104,1649589475608.5547
s_06_gb_0,105,1649589475925.5151
s_06_gb_0,106,1649589476241.533
s_06_gb_0,107,1649589476533.1543
s_06_gb_0,108,1649589476921.737
s_06_gb_0,109,1649589477201.6926
s_06_gb_0,110,1649589477567.1213
s_06_gb_0,111,1649589477896.2954
s_06_gb_0,112,1649589478248.8845
s_06_gb_0,113,1649589478613.4858
s_06_gb_0,114,1649589478931.4448
s_06_gb_0,115,1649589479221.8447
s_06_gb_0,116,1649589479601.408
s_06_gb_0,117,1649589479955.0938
s_06_gb_0,118,1649589480259.5889
s_06_gb_0,119,1649589480613.6587
s_06_gb_0,120,1649589480943.4539
s_06_gb_0,121,1649589481248.4187
s_06_gb_0,122,1649589481553.8
s_06_gb_0,123,1649589481905.977
s_06_gb_0,124,1649589482246.925
s_06_gb_0,125,1649589482563.6226
s_06_gb_0,126,1649589482941.7527
s_06_gb_0,127,1649589483246.2852
s_06_gb_0,128,1649589483588.7214
s_06_gb_0,129,1649589483916.78
s_06_gb_0,130,1649589484259.0115
s_06_gb_0,131,1649589484588.5864
s_06_gb_0,132,1649589484903.9465
s_06_gb_0,133,1649589485245.7866
s_06_gb_0,134,1649589485577.7305
s_06_gb_0,135,1649589485882.4434
s_06_gb_0,136,1649589486225.2952
s_06_gb_0,137,1649589486553.2532
s_06_gb_0,138,1649589486883.1433
s_06_gb_0,139,1649589487164.2468
s_06_gb_0,140,1649589487554.8843
s_06_gb_0,141,1649589487871.6206
s_06_gb_0,142,1649589488216.0806
s_06_gb_0,143,1649589488522.5293
s_06_gb_0,144,1649589488863.3875
s_06_gb_0,145,1649589489155.4282
s_06_gb_0,146,1649589489535.128
s_06_gb_0,147,1649589489876.4287
s_06_gb_0,148,1649589490169.9502
s_06_gb_0,149,1649589490487.9607
s_06_gb_0,150,1649589490856.264
s_06_gb_0,151,1649589491160.907
s_06_gb_0,152,1649589491492.8396
s_06_gb_0,153,1649589491859.3318
s_06_gb_0,154,1649589492175.5369
s_06_gb_0,155,1649589492504.6326
s_06_gb_0,156,1649589492823.7598
s_06_gb_0,157,1649589493141.344
s_06_gb_0,158,1649589493481.7969
s_06_gb_0,159,1649589493812.2722
s_06_gb_0,160,1649589494140.6924
s_06_gb_0,161,1649589494469.741
s_06_gb_0,162,1649589494810.706
s_06_gb_0,163,1649589495126.489
s_06_gb_0,164,1649589495518.62
s_06_gb_0,165,1649589495702.7983
s_06_gb_0,166,1649589496092.0823
s_06_gb_0,167,1649589496411.1992
s_06_gb_0,168,1649589496738.205
s_06_gb_0,169,1649589497081.5886
s_06_gb_0,170,1649589497424.2588
s_06_gb_0,171,1649589497741.9336
s_06_gb_0,172,1649589498046.3318
s_06_gb_0,173,1649589498399.278
s_06_gb_0,174,1649589498728.0098
s_06_gb_0,175,1649589499044.225
s_06_gb_0,176,1649589499373.0203


Time elapsed (in seconds): ,60
Subject perception (in seconds): ,45
