subject,tapNum,natRhythmTap (in ms.)
s07_nd_0,1,1649593310513.3506
s07_nd_0,2,1649593311117.131
s07_nd_0,3,1649593311669.7598
s07_nd_0,4,1649593312229.8418
s07_nd_0,5,1649593312820.8604
s07_nd_0,6,1649593313386.144
s07_nd_0,7,1649593313963.716
s07_nd_0,8,1649593314543.5396
s07_nd_0,9,1649593315106.2717
s07_nd_0,10,1649593315697.7793
s07_nd_0,11,1649593316254.268
s07_nd_0,12,1649593316856.5923
s07_nd_0,13,1649593317384.7424
s07_nd_0,14,1649593317934.8518
s07_nd_0,15,1649593318486.499
s07_nd_0,16,1649593319026.2874
s07_nd_0,17,1649593319594.843
s07_nd_0,18,1649593320137.5237
s07_nd_0,19,1649593320702.135
s07_nd_0,20,1649593321245.8208
s07_nd_0,21,1649593321790.958
s07_nd_0,22,1649593322341.784
s07_nd_0,23,1649593322870.8352
s07_nd_0,24,1649593323439.879
s07_nd_0,25,1649593323981.1453
s07_nd_0,26,1649593324508.3489
s07_nd_0,27,1649593325106.0806
s07_nd_0,28,1649593325646.902
s07_nd_0,29,1649593326191.521
s07_nd_0,30,1649593326797.157
s07_nd_0,31,1649593327379.48
s07_nd_0,32,1649593327975.8486
s07_nd_0,33,1649593328545.098
s07_nd_0,34,1649593329110.582
s07_nd_0,35,1649593329666.0547
s07_nd_0,36,1649593330231.9182
s07_nd_0,37,1649593330775.3652
s07_nd_0,38,1649593331329.6323
s07_nd_0,39,1649593331946.3953
s07_nd_0,40,1649593332437.1877
s07_nd_0,41,1649593332992.556
s07_nd_0,42,1649593333503.6392
s07_nd_0,43,1649593334058.2568
s07_nd_0,44,1649593334637.0803
s07_nd_0,45,1649593335214.0417
s07_nd_0,46,1649593335778.0356
s07_nd_0,47,1649593336331.2507
s07_nd_0,48,1649593336877.6616
s07_nd_0,49,1649593337397.1084
s07_nd_0,50,1649593337976.348
s07_nd_0,51,1649593338544.7754
s07_nd_0,52,1649593339074.8079
s07_nd_0,53,1649593339651.6304
s07_nd_0,54,1649593340240.1228
s07_nd_0,55,1649593340784.5322
s07_nd_0,56,1649593341316.3618
s07_nd_0,57,1649593341894.9326
s07_nd_0,58,1649593342483.5574
s07_nd_0,59,1649593343071.8362
s07_nd_0,60,1649593343713.3105
s07_nd_0,61,1649593344231.6023
s07_nd_0,62,1649593344850.4275
s07_nd_0,63,1649593345402.8684
s07_nd_0,64,1649593345967.706
s07_nd_0,65,1649593346575.0789
s07_nd_0,66,1649593347107.5217
s07_nd_0,67,1649593347690.1975
s07_nd_0,68,1649593348267.985
s07_nd_0,69,1649593348845.0254
s07_nd_0,70,1649593349433.9185
s07_nd_0,71,1649593349990.9238
s07_nd_0,72,1649593350570.6812
s07_nd_0,73,1649593351120.1472
s07_nd_0,74,1649593351666.3325
s07_nd_0,75,1649593352199.8772
s07_nd_0,76,1649593352739.675
s07_nd_0,77,1649593353309.0454
s07_nd_0,78,1649593353851.1538
s07_nd_0,79,1649593354434.0034
s07_nd_0,80,1649593355029.1206
s07_nd_0,81,1649593355565.9946
s07_nd_0,82,1649593356159.412
s07_nd_0,83,1649593356699.0312
s07_nd_0,84,1649593357263.88
s07_nd_0,85,1649593357867.2708
s07_nd_0,86,1649593358400.6614
s07_nd_0,87,1649593358909.2266
s07_nd_0,88,1649593359499.2869
s07_nd_0,89,1649593360042.0398
s07_nd_0,90,1649593360617.949
s07_nd_0,91,1649593361183.608
s07_nd_0,92,1649593361709.7185
s07_nd_0,93,1649593362262.835
s07_nd_0,94,1649593362858.8027
s07_nd_0,95,1649593363396.628
s07_nd_0,96,1649593363975.8079
s07_nd_0,97,1649593364494.0796
s07_nd_0,98,1649593365059.268
s07_nd_0,99,1649593365592.4211
s07_nd_0,100,1649593366124.187
s07_nd_0,101,1649593366664.1328
s07_nd_0,102,1649593367180.7825
s07_nd_0,103,1649593367760.0938
s07_nd_0,104,1649593368313.6248
s07_nd_0,105,1649593368869.7256
s07_nd_0,106,1649593369410.0596


Time elapsed (in seconds): ,60
Subject perception (in seconds): ,60
